data	dostawca	iloϾ	rok	cena				
02.01.2014	872-13-44	10	2014	665				
05.01.2014	369-43-03	2	2014	665				
06.01.2014	408-24-90	2	2014	665				
11.01.2014	944-16-93	5	2014	665				
12.01.2014	645-32-78	14	2014	665				
14.01.2014	594-18-15	43	2014	665				
15.01.2014	043-34-53	95	2014	665			rok	cena
19.01.2014	254-14-00	35	2014	665			2014	665
20.01.2014	254-14-00	23	2014	665			2015	671
21.01.2014	885-74-10	38	2014	665			2016	655
23.01.2014	847-48-41	44	2014	665			2017	671
25.01.2014	749-02-70	12	2014	665			2018	694
26.01.2014	128-69-77	11	2014	665			2019	622
27.01.2014	904-16-42	36	2014	665			2020	640
28.01.2014	749-02-70	51	2014	665			2021	1367
03.02.2014	254-14-00	46	2014	665			2022	1385
04.02.2014	775-48-66	8	2014	665			2023	776
06.02.2014	799-94-72	28	2014	665				
06.02.2014	045-63-27	12	2014	665				
11.02.2014	351-06-97	6	2014	665				
15.02.2014	413-93-89	32	2014	665				
19.02.2014	269-65-16	99	2014	665				
19.02.2014	080-51-85	91	2014	665				
25.02.2014	799-94-72	11	2014	665				
26.02.2014	910-38-33	58	2014	665				
27.02.2014	396-32-41	16	2014	665				
27.02.2014	178-24-36	34	2014	665				
28.02.2014	594-18-15	33	2014	665				
28.02.2014	178-24-36	43	2014	665				
28.02.2014	033-49-11	11	2014	665				
02.03.2014	337-27-67	20	2014	665				
02.03.2014	269-65-16	29	2014	665				
04.03.2014	410-52-79	10	2014	665				
06.03.2014	294-48-56	48	2014	665				
08.03.2014	178-24-36	32	2014	665				
10.03.2014	961-86-77	16	2014	665				
11.03.2014	378-70-08	10	2014	665				
11.03.2014	799-94-72	30	2014	665				
13.03.2014	594-18-15	33	2014	665				
18.03.2014	665-06-94	3	2014	665				
19.03.2014	534-94-49	76	2014	665				
19.03.2014	935-78-99	19	2014	665				
21.03.2014	269-65-16	54	2014	665				
25.03.2014	847-48-41	27	2014	665				
27.03.2014	996-09-76	7	2014	665				
29.03.2014	019-98-81	12	2014	665				
30.03.2014	962-06-61	7	2014	665				
01.04.2014	254-14-00	41	2014	665				
04.04.2014	254-14-00	26	2014	665				
07.04.2014	369-43-03	15	2014	665				
11.04.2014	410-52-79	19	2014	665				
12.04.2014	968-49-97	12	2014	665				
13.04.2014	254-14-00	17	2014	665				
15.04.2014	205-96-13	12	2014	665				
16.04.2014	916-94-78	17	2014	665				
17.04.2014	242-04-13	3	2014	665				
18.04.2014	761-06-34	14	2014	665				
19.04.2014	413-93-89	49	2014	665				
19.04.2014	377-37-44	2	2014	665				
20.04.2014	799-94-72	29	2014	665				
01.05.2014	413-93-89	20	2014	665				
02.05.2014	176-54-34	15	2014	665				
02.05.2014	799-94-72	31	2014	665				
03.05.2014	159-34-45	9	2014	665				
05.05.2014	715-03-63	15	2014	665				
08.05.2014	178-24-36	44	2014	665				
08.05.2014	599-00-55	13	2014	665				
10.05.2014	392-78-93	36	2014	665				
21.05.2014	847-48-41	25	2014	665				
22.05.2014	089-90-67	16	2014	665				
25.05.2014	378-70-08	49	2014	665				
26.05.2014	596-37-06	3	2014	665				
26.05.2014	178-24-36	25	2014	665				
28.05.2014	534-94-49	17	2014	665				
30.05.2014	749-02-70	11	2014	665				
30.05.2014	528-09-83	13	2014	665				
01.06.2014	590-28-48	3	2014	665				
01.06.2014	941-01-60	25	2014	665				
08.06.2014	033-49-11	83	2014	665				
10.06.2014	269-65-16	17	2014	665				
10.06.2014	843-22-41	7	2014	665				
11.06.2014	495-93-92	46	2014	665				
12.06.2014	662-14-22	2	2014	665				
13.06.2014	944-16-93	9	2014	665				
15.06.2014	753-35-55	3	2014	665				
15.06.2014	322-66-15	67	2014	665				
15.06.2014	392-78-93	42	2014	665				
16.06.2014	594-18-15	45	2014	665				
21.06.2014	178-24-36	21	2014	665				
23.06.2014	800-16-32	19	2014	665				
24.06.2014	043-34-53	81	2014	665				
26.06.2014	126-55-91	7	2014	665				
27.06.2014	507-22-76	17	2014	665				
29.06.2014	799-94-72	22	2014	665				
30.06.2014	531-65-00	14	2014	665				
02.07.2014	767-55-58	15	2014	665				
04.07.2014	692-61-16	97	2014	665				
10.07.2014	910-38-33	14	2014	665				
14.07.2014	392-78-93	21	2014	665				
